# X-Filed  Y-Field    Wavelength  X-Coord Y-Coord     Rays-thru
# (min)    (min)      (micron)    (mm)         (mm)           %
-1.04   -1.50   0.55030     19.89766        120.64019       82.97
-1.04   -1.50   0.55300     19.91092        122.92248       82.02
-1.04   -1.50   0.55570     19.92432        125.21096       80.76
-1.04   -1.50   0.55840     19.93781        127.50559       78.55
0.00    -1.50   0.31000     0.00000     -65.69704       99.68
0.00    -1.50   0.31270     0.00000     -63.68428       99.68
0.00    -1.50   0.31540     0.00000     -61.67207       99.68
0.00    -1.50   0.31810     0.00000     -59.66035       99.68
0.00    -1.50   0.32080     0.00000     -57.64902       100.00
0.00    -1.50   0.32350     0.00000     -55.63804       100.00
0.00    -1.50   0.32620     0.00000     -53.62730       100.00
0.00    -1.50   0.32890     0.00000     -51.61673       100.00
0.00    -1.50   0.33160     0.00000     -49.60624       100.00
0.00    -1.50   0.33430     0.00000     -47.59576       100.00
0.00    -1.50   0.33700     0.00000     -45.58522       100.00
0.00    -1.50   0.33970     0.00000     -43.57455       100.00
0.00    -1.50   0.34240     0.00000     -41.56366       100.00
0.00    -1.50   0.34510     0.00000     -39.55247       100.00
0.00    -1.50   0.34780     0.00000     -37.54092       100.00
0.00    -1.50   0.35050     0.00000     -35.52893       100.00
0.00    -1.50   0.35320     0.00000     -33.51641       100.00
0.00    -1.50   0.35590     0.00000     -31.50329       100.00
0.00    -1.50   0.35860     0.00000     -29.48949       100.00
0.00    -1.50   0.36130     0.00000     -27.47494       100.00
0.00    -1.50   0.36400     0.00000     -25.45955       100.00
0.00    -1.50   0.36670     0.00000     -23.44324       100.00
0.00    -1.50   0.36940     0.00000     -21.42594       100.00
0.00    -1.50   0.37210     0.00000     -19.40757       100.00
0.00    -1.50   0.37480     0.00000     -17.38805       100.00
0.00    -1.50   0.37750     0.00000     -15.36729       100.00
0.00    -1.50   0.38020     0.00000     -13.34521       100.00
0.00    -1.50   0.38290     0.00000     -11.32174       100.00
0.00    -1.50   0.38560     0.00000     -9.29680        100.00
0.00    -1.50   0.38830     0.00000     -7.27029        100.00
